Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Saara Inc,Saara is an eCommerce technology company that helps online brands reduce the economic and environmental impact of...,Saara is an eCommerce technology company that helps online brands reduce the economic and environmental impact of... | Focus areas: Business Function | Type: E-commerce company,,2019,,,50,https://SI.com,E-commerce,,Business Function,,https://indiaai.gov.in/startup/saara-inc
Anolytics,Provide high-quality data annotation outsourcing service for Machine Learning & AI model at flexible prices.,Provide high-quality data annotation outsourcing service for Machine Learning & AI model at flexible prices. | Focus areas: Business Function | Type: AI/ML company,,2016,,,200,https://anolytics.ai,AI/ML,,Business Function,,https://indiaai.gov.in/startup/anolytics
Sensara,Sensara Technologies is a Machine Learning-based Television technology startup from Bangalore.,Sensara Technologies is a Machine Learning-based Television technology startup from Bangalore. | Type: AI/ML company,Bharath Kumar Mohan has,2015,,,20,https://sensara.ai,AI/ML,,,,https://indiaai.gov.in/startup/sensara
Sensesemi,,Sensesemi is a  company founded in 2023,,2023,,,50,https://sensesemi.com,Other,,,,https://indiaai.gov.in/startup/sensesemi
Senzcraft,,Senzcraft is a  company founded in 2021,,2021,,,20,https://senzcraft.com,Other,,,,https://indiaai.gov.in/startup/senzcraft
Shipsy,"Shipsy, empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance...","Shipsy, empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance... | Type: Logistics company",,2015,,,275,https://shipsy.com,Logistics,,,,https://indiaai.gov.in/startup/shipsy
SimYog,,SimYog is a  company founded in 2017,Dipanjan Gope,2017,,,50,https://simyog.com,Other,,,,https://indiaai.gov.in/startup/simyog
Fair & Square,"Fair & Square uses the transformative power of people, technology and behavioural science for individuals and...","Fair & Square uses the transformative power of people, technology and behavioural science for individuals and... | Focus areas: Business Function | Type: Technology company",Dave Gilbert,2020,,,20,https://fairsquare.com,Technology,,Business Function,,https://indiaai.gov.in/startup/fair-square
Savana,,Focus areas: Business Function | Type: Other company,,2014,,,0,https://savana.ai,Other,,Business Function,,https://indiaai.gov.in/startup/savana
SalesKen,,Focus areas: Business Function | Type: Other company,Surga Thilakan,2018,,,121,https://salesken.ai,Other,,Business Function,,https://indiaai.gov.in/startup/salesken
SaleAssist,SaleAssist.ai is a B2B SAAS Live Video Commerce solution offering “Live Shopping & Live Streaming” to enhance “customer...,SaleAssist.ai is a B2B SAAS Live Video Commerce solution offering “Live Shopping & Live Streaming” to enhance “customer... | Focus areas: Business Function | Type: SaaS company,am Chetan,2020,,,50,https://saleassist.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/saleassist
Animagtics Technologies OPC Private Limited,,Focus areas: Business Function | Type: Technology company,,2020,"Maharashtra, India",,10,https://wellhealthorganic.com/,Technology,,Business Function,,https://indiaai.gov.in/startup/animagtics-technologies-opc-private-limited
AmyGB.ai,AmyGB is an intelligent automation solutions provider that enables process efficiency with simplified pre-trained...,AmyGB is an intelligent automation solutions provider that enables process efficiency with simplified pre-trained... | Focus areas: Business Function | Type: Other company,Written by Vikram Murthy,2016,"Maharashtra, India",,50,https://A.io,Other,,Business Function,,https://indiaai.gov.in/startup/amygb-ai
Samkhya.ai,,Samkhya.ai is a  company founded in 2023,,2023,,,20,https://S.ai,Other,,,,https://indiaai.gov.in/startup/samkhya-ai
Sciffer Analytics,,Focus areas: Business Function | Type: Other company,,2023,,,50,https://SA.ai,Other,,Business Function,,https://indiaai.gov.in/startup/sciffer-analytics
Ambient.ai,,Focus areas: Business Function | Type: Other company,,2017,,,50,https://A.io,Other,,Business Function,,https://indiaai.gov.in/startup/ambient-ai
SECURITI.ai,,Focus areas: Business Function | Type: Other company,,2018,,,74,https://S.ai,Other,,Business Function,,https://indiaai.gov.in/startup/securiti-ai
Amantya Technologies,,Focus areas: Business Function | Type: Technology company,,2018,"Haryana, India",,250,https://amantyatechnologies.com,Technology,,Business Function,,https://indiaai.gov.in/startup/amantya-technologies
Alog Tech,,Focus areas: Business Function | Type: Technology company,View Raghuram Nanduri,2023,"Telangana, India",,50,https://www.ynos.in/startup/alog-tech-357665,Technology,,Business Function,,https://indiaai.gov.in/startup/alog-tech
Algo Shack Technologies Private Limited,,Technologies: Healthcare | Focus areas: Business Function | Type: Healthcare company,,2018,,,150,https://ASTPL.co.in,Healthcare,Healthcare,Business Function,,https://indiaai.gov.in/startup/algo-shack-technologies-private-limited
Algo Legal,Algo Legal is a technology driven full service law firm for investors and start-ups.,Algo Legal is a technology driven full service law firm for investors and start-ups. | Type: Technology company,of Algo Legal,2019,"Karnataka, India",,50,https://AL.com,Technology,,,,https://indiaai.gov.in/startup/algo-legal
Small Robot Company,,Focus areas: Business Function | Type: Other company,,2017,,,50,https://smallrobotcompany.com,Other,,Business Function,,https://indiaai.gov.in/startup/small-robot-company
Sleuth,,Focus areas: Business Function | Type: Other company,early employees of Atlassian,2023,,,0,https://sleuth.com,Other,,Business Function,,https://indiaai.gov.in/startup/sleuth
SkyscendPay,,Focus areas: Business Function | Type: Other company,visionary leader Chayapathy Gangadarappa,2020,,,50,https://S.ai,Other,,Business Function,,https://indiaai.gov.in/startup/skyscendpay
Skimbox,,Focus areas: Business Function | Type: Other company,,2016,,,50,https://skimbox.in,Other,,Business Function,,https://indiaai.gov.in/startup/skimbox
Skillslash,Experiential Project-Based Learning Platform,Experiential Project-Based Learning Platform | Focus areas: Business Function | Type: SaaS company,,2021,,,105,https://skillslash.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/skillslash
SenseLoaf,,SenseLoaf is a  company founded in 2018,,2018,,,20,https://senseloaf.ai,Other,,,,https://indiaai.gov.in/startup/senseloaf
Akira.ai,"Akira AI platform for automation of enterprises, start-ups and individuals.","Akira AI platform for automation of enterprises, start-ups and individuals. | Focus areas: Business Function | Type: SaaS company",,,,,50,https://A.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/akira-ai
Shoora Technologies,"Revolutionizing the traditional way of Fleet Management by leveraging the Cloud based technology, Machine Learning and...","Revolutionizing the traditional way of Fleet Management by leveraging the Cloud based technology, Machine Learning and... | Type: AI/ML company",Vatan Vindal,2023,,,11,https://ST.ai,AI/ML,,,,https://indiaai.gov.in/startup/shoora-technologies
Shoppr,,Shoppr is a  company founded in 2016,of Shoppr,2016,,,0,https://shoppr.ai,Other,,,,https://indiaai.gov.in/startup/shoppr
Shubu.ai,,Shubu.ai is a  company founded in 2020,,2020,,,20,https://S.ai,Other,,,,https://indiaai.gov.in/startup/shubu-ai
Signicent Information Solutions LLP,Signicent Information Solutions LLP (ISO 9001:2015 certified) is a Global Knowledge Process Outsourcing (KPO) company...,Signicent Information Solutions LLP (ISO 9001:2015 certified) is a Global Knowledge Process Outsourcing (KPO) company... | Type: Other company,He is the,2022,,,200,https://SISL.com,Other,,,,https://indiaai.gov.in/startup/signicent-information-solutions-llp
SimpliContract,SimpliContract is a SaaS-based and AI-powered end-to-end enterprise contract lifecycle management platform. It helps...,SimpliContract is a SaaS-based and AI-powered end-to-end enterprise contract lifecycle management platform. It helps... | Type: SaaS company,,2020,,,50,https://simplicontract.com,SaaS,,,,https://indiaai.gov.in/startup/simplicontract
Techweirdo Consultancy Private Limited,"Techweirdo is revolutionizing the way small businesses, enterprises, and startups operate.","Techweirdo is revolutionizing the way small businesses, enterprises, and startups operate. | Focus areas: Business Function | Type: Technology company",Tech Month Spotlight,2019,"Karnataka, India",,50,https://TCPL.com,Technology,,Business Function,,https://indiaai.gov.in/startup/techweirdo-consultancy-private-limited
Silverpush,,Focus areas: Business Function | Type: Other company,Hitesh is the,2012,"Haryana, India",,200,https://silverpush.com,Other,,Business Function,,https://indiaai.gov.in/startup/silverpush
Selekt,"Selekt is a Smart Tech Company providing Solutions in areas of Artificial Intelligence like Chatbots, Machine learning,...","Selekt is a Smart Tech Company providing Solutions in areas of Artificial Intelligence like Chatbots, Machine learning,... | Focus areas: Business Function | Type: AI/ML company",,2016,,,20,https://selekt.in,AI/ML,,Business Function,,https://indiaai.gov.in/startup/selekt
Aira Matrix,AIRA Matrix provides AI solutions for life sciences applications.,AIRA Matrix provides AI solutions for life sciences applications. | Focus areas: Business Function | Type: Other company,,2011,"Maharashtra, India",,200,https://airamatrix.com,Other,,Business Function,,https://indiaai.gov.in/startup/aira-matrix
FutureBeeAI,,Focus areas: Business Function | Type: Other company,,2020,"Rajasthan, India",,10,https://futurebeeai.com,Other,,Business Function,,https://indiaai.gov.in/startup/futurebeeai
Aindra Systems Pvt. Ltd.,,"Technologies: Aindra Systems is involved in artificial intelligence technology space and is manufacturing Drishti, handheld devices with inbuilt cameras like smartphones, tablets and laptops that have the ability to detect and identify people. Images that are captured using these devices and sent to a cloud based server which are then processed by intelligent algorithms to detect and identify objects. | Focus areas: Business Function | Type: AI/ML company",,2012,"Karnataka, India",,50,https://ASPL.in,AI/ML,"Aindra Systems is involved in artificial intelligence technology space and is manufacturing Drishti, handheld devices with inbuilt cameras like smartphones, tablets and laptops that have the ability to detect and identify people. Images that are captured using these devices and sent to a cloud based server which are then processed by intelligent algorithms to detect and identify objects.",Business Function,,https://indiaai.gov.in/startup/aindra-systems-pvt-ltd
